Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	5.702798	7.817276	5.654695	17.993999	
0.100000	3.725188	6.247117	25.060888	28.939999	
0.100000	3.004293	2.625008	36.196278	41.688000	
0.100000	2.680842	2.597069	41.750351	41.809998	
0.100000	2.505275	2.145720	44.955597	49.897999	
0.100000	2.388420	2.126618	47.094902	50.559998	
0.100000	2.304749	1.989739	48.626179	52.781998	
0.100000	2.244156	1.982854	49.770340	53.289997	
0.100000	2.197906	1.873427	50.610451	55.396000	
0.100000	2.160568	1.808442	51.375931	56.725998	
0.100000	2.131796	1.885733	51.829475	55.183998	
0.100000	2.108436	1.839324	52.359829	56.155998	
0.100000	2.085938	1.793024	52.723446	56.975998	
0.100000	2.068511	1.756665	53.098522	57.826000	
0.100000	2.052288	1.816646	53.358875	56.875999	
0.100000	2.042642	1.903575	53.566990	54.789997	
0.100000	2.032584	1.734373	53.723221	58.447998	
0.100000	2.021409	1.722747	53.990227	58.341999	
0.100000	2.012174	1.743052	54.119156	58.359997	
0.100000	2.002853	1.821663	54.317558	56.723999	
0.100000	1.996292	1.845627	54.442284	56.439999	
0.100000	1.991706	1.688358	54.566090	59.435997	
0.100000	1.983853	1.666191	54.666080	59.501999	
0.100000	1.979107	1.678558	54.777046	59.313999	
0.100000	1.974173	1.802333	54.848316	56.925999	
0.100000	1.970201	1.740658	54.966488	58.362000	
0.100000	1.964574	1.782342	55.035347	57.217999	
0.100000	1.963208	1.659115	55.076488	59.688000	
0.100000	1.958412	1.692273	55.165928	58.938000	
0.100000	1.953258	1.847756	55.278065	56.233997	
0.010000	1.451206	1.093022	65.851196	72.395996	
0.010000	1.332086	1.059972	68.283623	73.108002	
0.010000	1.283762	1.031456	69.293404	73.818001	
0.010000	1.257413	1.024504	69.898949	73.921997	
0.010000	1.236233	1.010452	70.311287	74.227997	
0.010000	1.223381	1.011768	70.577766	74.040001	
0.010000	1.212635	1.015170	70.744141	74.192001	
0.010000	1.208815	1.005747	70.819244	74.209999	
0.010000	1.204828	1.034579	70.930084	73.515999	
0.010000	1.202701	1.026520	70.958679	73.779999	
0.010000	1.201382	1.026821	70.989098	73.889999	
0.010000	1.200020	1.075613	70.997658	72.683998	
0.010000	1.199865	1.034041	70.970406	73.809998	
0.010000	1.199998	1.045918	70.967972	73.402000	
0.010000	1.200942	1.035505	70.924088	73.745995	
0.010000	1.198931	1.024724	70.974945	73.933998	
0.010000	1.197592	1.054763	70.978233	73.103996	
0.010000	1.195927	1.115542	71.027481	71.939995	
0.010000	1.195409	1.070913	71.020424	73.169998	
0.010000	1.194210	1.063424	71.029167	73.220001	
0.010000	1.192219	1.069514	71.133743	72.961998	
0.010000	1.190167	1.038720	71.144875	73.509995	
0.010000	1.184603	1.047414	71.246147	73.515999	
0.010000	1.183895	1.044325	71.261681	73.559998	
0.010000	1.179750	1.049815	71.339745	73.264000	
0.010000	1.179067	1.030705	71.363632	74.001999	
0.010000	1.175787	1.054075	71.395012	73.239998	
0.010000	1.173891	1.042750	71.470886	73.416000	
0.010000	1.170059	1.029267	71.571632	73.797997	
0.010000	1.166745	1.043378	71.605240	73.627998	
0.001000	0.976546	0.887439	76.107239	77.237999	
0.001000	0.922939	0.868890	77.356293	77.589996	
0.001000	0.897974	0.864310	77.922951	77.905998	
0.001000	0.880891	0.861575	78.331963	78.040001	
0.001000	0.870931	0.859450	78.597435	77.987999	
0.001000	0.860951	0.854505	78.799774	78.185997	
0.001000	0.849982	0.852382	79.012833	78.178001	
0.001000	0.843472	0.850295	79.171616	78.243996	
0.001000	0.836273	0.851182	79.317307	78.103996	
0.001000	0.827533	0.845364	79.561691	78.337997	
0.001000	0.820130	0.848748	79.724594	78.297997	
0.001000	0.817940	0.849058	79.766495	78.215996	
0.001000	0.810911	0.849208	79.984291	78.351997	
0.001000	0.805588	0.851961	80.077858	78.509995	
0.001000	0.801181	0.845950	80.181557	78.414001	
0.001000	0.796087	0.851992	80.284622	78.253998	
0.001000	0.788666	0.853881	80.448677	78.320000	
0.001000	0.785737	0.851533	80.546944	78.306000	
0.001000	0.782647	0.850299	80.634857	78.381996	
0.001000	0.776760	0.852738	80.779686	78.199997	
0.001000	0.775048	0.856724	80.825516	78.309998	
0.001000	0.770412	0.856970	80.916283	78.459999	
0.001000	0.765413	0.853815	81.021423	78.335999	
0.001000	0.762801	0.850886	81.083679	78.491997	
0.001000	0.758616	0.855855	81.168526	78.456001	
0.001000	0.756094	0.852466	81.260582	78.407997	
0.001000	0.752154	0.864009	81.382774	78.391998	
0.001000	0.747837	0.863584	81.438789	78.321999	
0.001000	0.744789	0.859434	81.496330	78.367996	
0.001000	0.742730	0.859816	81.586777	78.297997	
0.000100	0.711150	0.845832	82.438538	78.639999	
0.000100	0.703628	0.846495	82.591461	78.657997	
0.000100	0.698167	0.845884	82.747162	78.703995	
0.000100	0.696084	0.843561	82.796577	78.790001	
0.000100	0.692136	0.846013	82.862175	78.703995	
0.000100	0.689893	0.845019	82.955620	78.792000	
0.000100	0.688276	0.845873	82.882135	78.713995	
0.000100	0.687010	0.845562	82.905731	78.721999	
0.000100	0.686049	0.845291	82.921416	78.746000
0.000100	0.685183	0.845174	82.937858	78.753998
