Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	5.900007	4.557157	4.103670	13.604000	
0.100000	4.098217	3.560326	20.108210	27.679998	
0.100000	3.304372	3.082020	31.500658	35.105999	
0.100000	2.958477	3.130962	37.143333	41.941998	
0.100000	2.759959	2.603305	40.527500	42.621998	
0.100000	2.626845	2.481882	42.875465	44.275997	
0.100000	2.533295	2.237875	44.515015	48.775997	
0.100000	2.469554	2.114728	45.688839	51.127998	
0.100000	2.416615	2.144152	46.626606	50.402000	
0.100000	2.375436	2.175268	47.411446	49.703999	
0.100000	2.346870	2.096346	48.004723	51.500000	
0.100000	2.318502	2.116872	48.479031	51.087997	
0.100000	2.293141	2.093280	48.896744	51.407997	
0.100000	2.276297	2.029455	49.273628	52.902000	
0.100000	2.259070	2.056836	49.551220	52.667999	
0.100000	2.243936	2.062101	49.806091	52.312000	
0.100000	2.232430	1.933002	50.016159	54.523998	
0.100000	2.220739	1.969963	50.208973	53.784000	
0.100000	2.211663	2.008080	50.381256	52.896000	
0.100000	2.202867	1.975033	50.614117	53.683998	
0.100000	2.193129	1.944222	50.786011	54.329998	
0.100000	2.185471	1.927633	50.874535	54.719997	
0.100000	2.179270	2.027853	51.009663	52.731998	
0.100000	2.172778	1.929258	51.136902	54.765999	
0.100000	2.169084	1.954551	51.251343	54.425999	
0.100000	2.161999	2.017279	51.357742	53.466000	
0.100000	2.159330	1.918832	51.404659	54.681999	
0.100000	2.151649	2.074342	51.556881	51.799999	
0.100000	2.150506	1.965040	51.620735	54.057999	
0.100000	2.146736	2.023859	51.683186	53.348000	
0.010000	1.620329	1.248415	62.467125	69.276001	
0.010000	1.503453	1.202024	64.862312	70.225998	
0.010000	1.459360	1.175759	65.725769	70.671997	
0.010000	1.431146	1.174798	66.281754	70.643997	
0.010000	1.413650	1.180791	66.587456	70.598000	
0.010000	1.400692	1.158055	66.889153	71.175995	
0.010000	1.393404	1.150155	67.050812	71.099998	
0.010000	1.386219	1.169096	67.150452	70.751999	
0.010000	1.382395	1.159877	67.260414	71.157997	
0.010000	1.384364	1.160801	67.178307	71.112000	
0.010000	1.382636	1.174874	67.236237	70.692001	
0.010000	1.380629	1.199293	67.261223	70.309998	
0.010000	1.379983	1.157145	67.272667	70.933998	
0.010000	1.380782	1.192017	67.172462	70.400002	
0.010000	1.381122	1.189214	67.207794	70.741997	
0.010000	1.379332	1.171751	67.266510	70.706001	
0.010000	1.376007	1.186547	67.315613	70.535995	
0.010000	1.376466	1.207260	67.289291	70.243996	
0.010000	1.374360	1.157163	67.354530	71.143997	
0.010000	1.371882	1.226855	67.360901	69.515999	
0.010000	1.371004	1.172053	67.385010	70.603996	
0.010000	1.366200	1.208635	67.504433	70.045998	
0.010000	1.364869	1.185000	67.512497	70.617996	
0.010000	1.363963	1.201581	67.550163	70.094002	
0.010000	1.360561	1.168089	67.629799	71.031998	
0.010000	1.355870	1.215649	67.719154	69.655998	
0.010000	1.355122	1.157706	67.729988	71.292000	
0.010000	1.350965	1.152303	67.833031	71.113998	
0.010000	1.346769	1.175849	67.824928	70.647995	
0.010000	1.346119	1.194484	67.916992	70.529999	
0.001000	1.150034	0.990382	72.382210	74.903999	
0.001000	1.097523	0.974043	73.502510	75.199997	
0.001000	1.077283	0.971151	73.977592	75.264000	
0.001000	1.061308	0.965422	74.291679	75.563995	
0.001000	1.050427	0.959949	74.547127	75.713997	
0.001000	1.041947	0.956739	74.794426	75.827995	
0.001000	1.033418	0.954302	74.995827	75.848000	
0.001000	1.025342	0.949025	75.131622	75.781998	
0.001000	1.019356	0.944857	75.277565	75.801994	
0.001000	1.012658	0.949285	75.416603	75.942001	
0.001000	1.007668	0.947116	75.528191	76.166000	
0.001000	0.999862	0.951617	75.708031	76.045998	
0.001000	0.994473	0.944046	75.818275	75.981995	
0.001000	0.990331	0.947171	75.954712	76.049995	
0.001000	0.984354	0.947012	76.064575	76.029999	
0.001000	0.980960	0.949375	76.130707	76.197998	
0.001000	0.980632	0.941113	76.117683	76.271996	
0.001000	0.972285	0.944159	76.290390	76.145996	
0.001000	0.969171	0.946645	76.361938	76.145996	
0.001000	0.965733	0.940389	76.439026	76.061996	
0.001000	0.963539	0.943323	76.515732	76.119995	
0.001000	0.958994	0.942575	76.628036	76.194000	
0.001000	0.956661	0.943018	76.720467	76.089996	
0.001000	0.955417	0.941312	76.749649	76.351997	
0.001000	0.948886	0.945430	76.817307	76.112000	
0.001000	0.948678	0.941042	76.838158	76.217995	
0.001000	0.944361	0.942971	76.965736	76.337997	
0.001000	0.943232	0.937532	76.989243	76.287994	
0.001000	0.939583	0.941750	77.060432	76.225998	
0.001000	0.938530	0.942984	77.104187	76.264000	
0.000100	0.904246	0.926823	77.924301	76.636002	
0.000100	0.892626	0.922066	78.212303	76.755997	
0.000100	0.888628	0.920528	78.271545	76.787994	
0.000100	0.886667	0.921590	78.397072	76.815994	
0.000100	0.885503	0.919500	78.359665	76.795998	
0.000100	0.884210	0.922498	78.384247	76.839996	
0.000100	0.882378	0.923580	78.427711	76.897995	
0.000100	0.881278	0.921233	78.482567	76.846001	
0.000100	0.878414	0.919784	78.492996	76.734001	
0.000100	0.879431	0.920864	78.524040	76.827995	
