Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	5.393188	4.005403	7.641387	19.703999	
0.100000	3.628875	3.259153	26.258680	31.417999	
0.100000	3.033076	2.611077	35.676304	41.087997	
0.100000	2.749674	2.511479	40.526173	43.256001	
0.100000	2.576504	2.191564	43.595592	48.958000	
0.100000	2.465359	2.096190	45.578148	50.997997	
0.100000	2.387823	2.011156	47.030891	52.581997	
0.100000	2.328241	1.984398	48.143829	52.907997	
0.100000	2.283911	1.904273	49.012196	54.613998	
0.100000	2.246605	1.930008	49.693916	54.335999	
0.100000	2.219842	1.935578	50.172283	54.472000	
0.100000	2.192452	2.089965	50.689137	51.493999	
0.100000	2.173482	1.920048	51.036514	54.253998	
0.100000	2.156621	1.897198	51.399117	55.189999	
0.100000	2.141980	1.927624	51.681545	54.483997	
0.100000	2.127475	1.822724	51.884663	56.491997	
0.100000	2.116645	1.848497	52.092312	55.683998	
0.100000	2.107609	1.823219	52.263657	56.166000	
0.100000	2.097761	1.788720	52.524719	57.073997	
0.100000	2.092494	1.850049	52.523685	56.138000	
0.100000	2.085599	1.807300	52.738121	57.053997	
0.100000	2.079365	1.850905	52.810646	56.135998	
0.100000	2.073016	1.868512	52.994091	55.903999	
0.100000	2.065970	1.843167	53.069096	56.543999	
0.100000	2.060907	1.937109	53.218464	54.243999	
0.100000	2.055166	1.726742	53.272171	58.227997	
0.100000	2.053773	1.803430	53.339336	57.115997	
0.100000	2.047674	1.811470	53.427544	56.771999	
0.100000	2.045589	1.804745	53.487141	56.507999	
0.100000	2.039319	1.799600	53.583607	56.877998	
0.010000	1.508113	1.135156	64.675133	71.512001	
0.010000	1.393421	1.096733	67.028374	72.181999	
0.010000	1.348305	1.059202	67.931732	72.945999	
0.010000	1.319886	1.059321	68.503059	73.159996	
0.010000	1.299787	1.044928	68.961754	73.203995	
0.010000	1.286205	1.056198	69.217323	73.003998	
0.010000	1.276503	1.048349	69.437889	73.323997	
0.010000	1.270478	1.047354	69.539032	73.229996	
0.010000	1.267215	1.067664	69.606400	72.818001	
0.010000	1.265263	1.050539	69.629684	73.101997	
0.010000	1.264115	1.061915	69.718445	72.991997	
0.010000	1.266533	1.071423	69.636528	72.636002	
0.010000	1.264170	1.061275	69.658020	72.902000	
0.010000	1.263430	1.052770	69.659225	73.267998	
0.010000	1.261690	1.062392	69.708931	72.862000	
0.010000	1.261047	1.059946	69.675720	73.096001	
0.010000	1.260361	1.085594	69.725510	72.681999	
0.010000	1.257544	1.074409	69.749474	72.589996	
0.010000	1.261895	1.080629	69.646904	72.697998	
0.010000	1.256162	1.073672	69.814545	72.792000	
0.010000	1.251312	1.073767	69.874123	72.659996	
0.010000	1.249362	1.074865	69.899109	72.650002	
0.010000	1.247413	1.082950	69.977699	72.736000	
0.010000	1.242534	1.058574	70.039314	72.979996	
0.010000	1.243059	1.069941	69.996124	72.773994	
0.010000	1.238558	1.063795	70.150528	73.194000	
0.010000	1.236390	1.066470	70.210716	73.068001	
0.010000	1.234486	1.069015	70.198166	72.970001	
0.010000	1.230752	1.069041	70.330887	73.098000	
0.010000	1.227627	1.060121	70.389816	72.986000	
0.001000	1.028101	0.889348	75.008102	77.125999	
0.001000	0.973034	0.876812	76.245438	77.330002	
0.001000	0.950406	0.868984	76.705032	77.655998	
0.001000	0.938277	0.864440	77.033798	77.809998	
0.001000	0.923343	0.857455	77.383545	77.942001	
0.001000	0.912146	0.855955	77.601143	77.921997	
0.001000	0.905034	0.853303	77.749084	77.919998	
0.001000	0.896058	0.850010	77.959373	78.122002	
0.001000	0.887147	0.850681	78.208443	78.234001	
0.001000	0.882093	0.851439	78.284431	78.248001	
0.001000	0.876509	0.845788	78.438194	78.183998	
0.001000	0.870339	0.846782	78.589615	78.211998	
0.001000	0.864002	0.848523	78.709015	78.234001	
0.001000	0.856140	0.848929	78.882706	78.397995	
0.001000	0.854662	0.847673	78.929047	78.195999	
0.001000	0.851099	0.849474	79.028343	78.175995	
0.001000	0.845903	0.850359	79.160660	78.271996	
0.001000	0.841689	0.848118	79.265053	78.201996	
0.001000	0.836071	0.847856	79.384903	78.332001	
0.001000	0.832014	0.847917	79.492676	78.430000	
0.001000	0.828836	0.851688	79.575691	78.273994	
0.001000	0.826675	0.853466	79.616966	78.287994	
0.001000	0.820989	0.848943	79.794029	78.273994	
0.001000	0.817366	0.850608	79.854126	78.301994	
0.001000	0.815007	0.853854	79.886040	78.136002	
0.001000	0.810769	0.853821	79.990738	78.375999	
0.001000	0.808087	0.851238	80.088448	78.349998	
0.001000	0.804471	0.859474	80.145340	78.225998	
0.001000	0.801357	0.854755	80.222343	78.185997	
0.001000	0.795174	0.857921	80.347443	78.203995	
0.000100	0.766607	0.842795	81.084442	78.565994	
0.000100	0.756934	0.840242	81.388626	78.645996	
0.000100	0.751948	0.840154	81.469040	78.675995	
0.000100	0.747694	0.839513	81.589203	78.650002	
0.000100	0.747112	0.840242	81.591576	78.734001	
0.000100	0.745948	0.840404	81.645508	78.725998	
0.000100	0.740988	0.841568	81.724243	78.790001	
0.000100	0.740216	0.841659	81.730942	78.720001	
0.000100	0.739390	0.838576	81.777878	78.797997	
0.000100	0.737083	0.836582	81.849731	78.739998	
