Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	5.659950	4.213978	5.538382	16.765999	
0.100000	3.868200	3.079687	22.927673	33.526001	
0.100000	3.179770	3.650218	33.302341	37.007999	
0.100000	2.868063	2.651066	38.642990	42.208000	
0.100000	2.676593	2.395759	41.991329	46.231998	
0.100000	2.556597	2.322071	44.082157	47.189999	
0.100000	2.473111	2.188712	45.597351	49.751999	
0.100000	2.412622	2.087173	46.760872	51.657997	
0.100000	2.364138	2.079699	47.614330	51.424000	
0.100000	2.328699	2.296373	48.284576	48.090000	
0.100000	2.301276	2.055973	48.826252	52.475998	
0.100000	2.274620	2.007596	49.328896	53.141998	
0.100000	2.257514	1.933335	49.620617	54.340000	
0.100000	2.238621	1.962320	50.037704	54.007999	
0.100000	2.220666	2.327624	50.283054	47.857998	
0.100000	2.209874	2.092971	50.512245	51.495998	
0.100000	2.197574	1.902110	50.828869	55.455997	
0.100000	2.185944	1.879173	50.985073	55.515999	
0.100000	2.178180	2.014902	51.151268	52.966000	
0.100000	2.170405	1.898841	51.283974	55.245998	
0.100000	2.164291	1.798193	51.404034	57.331997	
0.100000	2.156887	1.941799	51.567886	54.444000	
0.100000	2.148935	1.889333	51.657345	55.500000	
0.100000	2.147635	1.941600	51.775612	54.402000	
0.100000	2.139556	1.882191	51.864758	55.629997	
0.100000	2.137002	1.863292	51.971237	55.865997	
0.100000	2.131045	1.949100	51.975842	55.107998	
0.100000	2.124629	1.838195	52.175056	56.585999	
0.100000	2.126049	1.850706	52.148907	56.477997	
0.100000	2.119477	1.854500	52.279972	56.410000	
0.010000	1.566568	1.203328	63.534771	70.082001	
0.010000	1.446036	1.157659	66.005074	71.192001	
0.010000	1.401261	1.130954	66.980568	71.709999	
0.010000	1.372271	1.119670	67.506134	72.279999	
0.010000	1.350663	1.117107	67.935738	72.099998	
0.010000	1.337521	1.122706	68.222725	71.984001	
0.010000	1.332601	1.099082	68.299301	72.537994	
0.010000	1.328398	1.105323	68.418869	72.526001	
0.010000	1.322116	1.101984	68.483330	72.479996	
0.010000	1.323248	1.122243	68.516960	72.141998	
0.010000	1.320372	1.107741	68.521370	72.236000	
0.010000	1.322012	1.105825	68.479355	72.297997	
0.010000	1.322736	1.113908	68.453415	72.061996	
0.010000	1.322151	1.121760	68.406372	71.919998	
0.010000	1.322378	1.104306	68.419350	72.183998	
0.010000	1.322214	1.147676	68.451431	71.675995	
0.010000	1.320365	1.129512	68.480240	72.007996	
0.010000	1.319683	1.134288	68.506958	71.795998	
0.010000	1.316773	1.166258	68.539322	71.287994	
0.010000	1.316056	1.134310	68.578110	72.021996	
0.010000	1.314654	1.118360	68.652000	72.309998	
0.010000	1.308702	1.112317	68.689392	72.068001	
0.010000	1.309671	1.129508	68.693069	72.124001	
0.010000	1.306347	1.112913	68.793488	72.255997	
0.010000	1.303321	1.124488	68.797531	72.061996	
0.010000	1.302196	1.135090	68.871811	71.570000	
0.010000	1.298487	1.122141	68.930504	71.998001	
0.010000	1.294378	1.131690	68.970978	72.339996	
0.010000	1.293905	1.123233	69.014458	72.077995	
0.010000	1.289485	1.171913	69.108559	71.084000	
0.001000	1.081468	0.946845	73.902641	76.425995	
0.001000	1.025705	0.934749	75.152138	76.596001	
0.001000	1.003689	0.923947	75.612495	76.865997	
0.001000	0.987543	0.917746	75.951477	76.935997	
0.001000	0.972438	0.911245	76.346283	77.255997	
0.001000	0.964620	0.912940	76.490097	77.122002	
0.001000	0.954290	0.909734	76.741982	77.167999	
0.001000	0.945747	0.908753	76.917557	77.257996	
0.001000	0.939767	0.904332	77.000832	77.379997	
0.001000	0.933769	0.907344	77.176163	77.395996	
0.001000	0.924787	0.902157	77.393875	77.459999	
0.001000	0.921949	0.903888	77.447166	77.514000	
0.001000	0.914388	0.901583	77.623199	77.505997	
0.001000	0.909638	0.899473	77.724442	77.500000	
0.001000	0.905381	0.901649	77.833061	77.543999	
0.001000	0.899970	0.896281	77.949654	77.547997	
0.001000	0.896792	0.899660	78.060936	77.512001	
0.001000	0.890980	0.899768	78.116127	77.447998	
0.001000	0.886434	0.898861	78.258972	77.554001	
0.001000	0.882427	0.897168	78.346603	77.556000	
0.001000	0.877054	0.901810	78.459923	77.570000	
0.001000	0.874906	0.900849	78.550972	77.580002	
0.001000	0.870314	0.903599	78.622025	77.582001	
0.001000	0.867229	0.903036	78.730492	77.625999	
0.001000	0.864997	0.904619	78.767555	77.666000	
0.001000	0.860004	0.900923	78.840988	77.596001	
0.001000	0.857875	0.908803	78.940956	77.463997	
0.001000	0.856823	0.904229	78.947456	77.470001	
0.001000	0.852643	0.903233	79.019493	77.673996	
0.001000	0.850784	0.915137	79.132233	77.484001	
0.000100	0.814071	0.892288	80.024132	77.872002	
0.000100	0.805662	0.893570	80.196770	77.972000	
0.000100	0.800706	0.888772	80.335541	78.068001	
0.000100	0.797526	0.890248	80.384201	77.989998	
0.000100	0.793740	0.889809	80.507492	78.029999	
0.000100	0.794356	0.888336	80.493080	78.007996	
0.000100	0.793517	0.887519	80.496231	78.087997	
0.000100	0.790723	0.889582	80.560524	78.199997	
0.000100	0.788789	0.890919	80.574112	78.015999	
0.000100	0.788621	0.886406	80.648109	78.012001	
